phi_r,theta_r
-0.0213,-0.0635
76.2838,24.2014
70.5403,41.0650
60.1834,59.7515
57.3503,64.6687
64.1757,68.1340
-0.0053,-0.0959
62.6396,83.1668
58.8527,99.6230
45.4950,117.8492
29.2410,132.9068
10.6706,137.1927
-0.0172,-0.0763
-22.7904,127.8452
-45.1677,132.7681
-65.1941,138.9321
-82.0265,131.9645
-94.9659,135.7195
-0.0101,0.0488
-126.1383,109.3642
-135.8111,84.4136
-140.1137,91.0836
-139.8464,102.1059
-144.8774,61.8622
-0.0004,0.1046
-152.8371,29.2370
-154.2558,35.8420
-152.6512,26.0160
-150.3583,4.7994
-146.2053,-3.1906
0.0113,0.0774
-138.4373,-14.2733
-134.6639,-19.8089
-116.4325,-30.6805
-92.6513,-47.8336
-76.4717,-59.3149
0.0176,0.0563
-78.7526,-58.9047
-61.7851,-62.8678
-40.7164,-62.2744
-26.6859,-59.2364
-23.1515,-24.6882
-0.0125,-0.0432
14.2992,30.7842
33.7890,13.6163
44.4435,4.1391
49.2551,-5.5017
48.1571,-9.3360
-0.0310,-0.0499
42.8565,-7.8419
47.0245,-11.7236
53.4326,-12.6563
52.5596,-15.5040
43.0726,-5.9858
-0.0208,-0.0424
19.3946,15.4781
20.2626,11.5550
20.3375,6.1920
14.6779,8.3380
10.1405,13.2525
-0.0105,-0.0146
5.9186,10.1494
6.7866,3.2097
5.6565,2.2100
0.9737,6.8029
-2.8840,14.8239
-0.0061,-0.0244
-3.9246,14.3921
-3.5896,6.5979
-7.3963,2.9448
-10.8898,9.4221
-15.7862,15.7416
0.0005,-0.0300
-21.9434,23.8101
-22.6049,21.2715
-22.5637,23.4754
-23.2979,34.8332
-21.0968,38.4677
-0.0112,0.0088
-1.7256,6.9612
4.9551,-3.2638
4.6761,-5.4283
-5.4452,-6.3886
-12.5724,-4.3093
-0.0097,0.0532
2.6018,-9.0388
11.2938,-19.5814
29.4333,-39.6821
42.5725,-38.6897
43.1564,-13.5607
-0.0345,0.0204
65.5491,-14.2115
87.6835,-39.9899
103.1649,-58.9186
97.5869,-39.5745
92.2119,-18.6327
-0.0324,-0.0417
112.1646,-33.4649
128.6676,-53.0446
123.7820,-25.7375
93.9871,21.9158
86.9984,34.5614
-0.0356,-0.0394
117.4798,-18.7499
95.8658,10.7067
72.3842,51.6269
79.7592,43.3052
93.3922,17.8114
-0.0328,-0.0401
64.9152,56.6961
47.7370,80.2677
52.5452,53.6379
53.5694,58.3953
48.2375,62.6759
-0.0061,-0.1023
50.9103,65.3385
55.4568,61.6683
55.6606,52.8770
53.5955,56.1130
37.9735,74.8800
-0.0001,-0.1137
22.9506,97.0997
18.8647,101.4656
5.7087,107.1267
1.6772,120.5589
4.2595,151.2371
-0.0210,-0.0152
-3.4706,182.7914
-34.9059,165.5651
-70.4215,163.4162
-94.6466,151.6724
-101.1976,129.5083
-0.0039,0.0490
-94.6853,88.4735
-102.9301,94.8214
-116.0073,88.8816
-124.8940,68.1974
-128.7432,43.5459
0.0078,0.1084
-138.4673,23.2864
-145.1160,10.5641
-142.5900,-3.8451
-130.9684,-10.4138
-119.5122,-10.6194
0.0217,0.0628
-129.0120,-9.1842
-129.3989,-21.5738
-116.1390,-33.0764
-102.4949,-28.8334
-87.1349,-33.0770
0.0126,0.1059
-56.0838,-25.6747
-33.5849,-32.5796
-12.4910,-40.1111
13.9412,-33.4179
36.3841,-41.5547
-0.0244,0.0568
41.4026,-26.1940
44.5449,11.6865
60.8177,-2.4353
73.1388,-34.7444
65.2841,-36.8826
-0.0302,-0.0215
52.5787,-37.2696
57.3088,-48.1024
48.6133,-43.4965
28.4071,-21.1836
20.0735,2.1527
-0.0203,-0.0228
29.3058,0.1898
23.3132,5.1950
11.5655,9.8331
0.3604,6.6200
-4.2636,5.3038
-0.0034,-0.0231
-1.3668,19.4309
-4.2961,22.3777
-5.4168,17.1913
-6.0801,6.5339
-7.4165,6.3695
-0.0059,0.0092
-3.2837,10.4573
-3.9236,11.3309
-5.4829,8.0792
-5.8694,7.8423
-8.7337,10.5292
-0.0028,-0.0014
-13.9418,8.9193
-15.1630,6.2452
-23.6015,9.9024
-36.1027,27.1826
-45.9156,49.3159
0.0043,-0.0426
-27.7226,32.8840
-14.7818,19.3210
0.4929,1.8609
32.3267,-20.9548
80.7520,-45.5244
-0.0039,-0.0573
126.7751,-88.2597
132.9983,-81.7816
137.8683,-69.6663
143.4434,-71.4970
147.1534,-69.6654
-0.0183,-0.0766
139.2268,-25.2585
146.0106,-26.2638
143.0640,-14.9588
124.7811,16.2617
105.3463,43.2235
-0.0254,-0.0347
106.2090,28.6840
107.2902,30.6349
85.6779,53.6267
63.0575,78.6481
61.4965,88.6392
-0.0103,-0.0706
89.5069,60.8293
75.9682,80.6982
58.3428,88.8784
55.7361,78.4679
66.5854,69.4796
-0.0083,-0.0809
79.6080,85.5993
64.6006,106.8570
52.8693,106.7103
41.6114,97.0857
34.9641,94.7479
-0.0000,-0.1128
12.6474,96.7581
-14.6528,114.1073
-33.4408,128.5709
-43.0348,130.5646
-50.0693,112.5976
-0.0090,0.0079
-88.2977,117.5966
-119.1300,141.6144
-128.0207,121.4236
-127.6822,108.1021
-133.1519,110.7372
0.0013,0.0710
-166.6579,81.5475
-173.9125,62.2078
-172.6492,54.8668
-165.4611,51.9740
-161.7511,41.1087
0.0013,0.1137
-150.2836,30.0054
-136.0274,18.0426
-115.5582,19.7446
-108.1253,37.9602
-102.5666,9.2894
0.0172,0.0999
-61.1691,-23.5180
-38.7622,-15.5544
-26.5888,-6.0575
-22.3204,-31.7586
-19.6710,-57.7807
-0.0014,0.0989
-0.7065,-73.0915
7.9995,-63.9220
15.6993,-52.8194
26.7852,-37.9533
41.6467,-30.4510
-0.0247,-0.0341
33.9649,-24.0737
29.0004,-47.2728
34.3010,-61.7375
38.4494,-53.6896
26.2027,-28.4459
-0.0153,-0.0552
16.3619,13.7851
22.8997,11.9338
22.9817,2.2257
14.9141,-1.8574
7.6829,-1.4129
-0.0102,-0.0145
3.7195,16.8712
3.6358,20.0424
6.5385,19.6252
7.1352,13.4240
-1.0728,9.3062
-0.0050,-0.0064
-0.5451,9.4629
5.0615,7.9492
5.7967,8.0922
-1.4538,7.2721
-6.2719,1.8169
-0.0092,0.0258
-0.2746,-6.3024
4.3352,-1.7026
5.3604,2.7627
1.2338,6.6733
-4.5888,9.5079
-0.0065,0.0017
-5.8227,0.6383
-3.6708,2.2814
-5.4110,11.9302
-8.6606,21.1609
-11.1349,21.8372
-0.0041,-0.0134
-18.1708,26.6583
-26.0643,31.7224
-30.0325,48.8292
-11.9389,36.5411
30.9687,-7.5259
-0.0178,0.0116
78.1592,-61.4180
66.1392,-36.7856
65.4149,-24.2083
80.6446,-28.8914
95.3084,-37.4546
-0.0258,-0.0257
107.8515,-39.1786
103.0524,-24.0861
101.1126,-13.9946
104.7493,-13.0158
115.9985,-33.7392
-0.0263,-0.0493
102.6844,-15.8712
96.7041,-6.1476
104.6422,-7.8558
110.5741,-4.8991
104.9750,11.0915
-0.0310,-0.0486
85.6024,28.8715
85.0709,30.8030
83.3703,39.0994
76.7463,51.0437
62.6958,55.7059
-0.0117,-0.0941
63.6195,20.0320
69.4605,21.9750
70.9509,52.9406
76.5395,83.7320
86.2785,91.1765
-0.0006,-0.0672
69.5121,82.5580
47.6109,79.4232
35.4093,73.8256
29.5836,79.1756
24.9416,92.1749
-0.0035,-0.1049
7.9247,114.1588
2.3079,126.1755
-13.0052,130.8010
-33.8899,118.6326
-49.3599,107.5373
-0.0203,0.0011
-80.6795,141.8703
-87.2949,133.1451
-95.1457,91.9285
-99.8477,76.4669
-100.6696,86.1247
0.0003,0.0707
-107.6499,78.6219
-122.1135,63.4409
-129.4437,54.6440
-127.2265,42.7868
-131.2434,39.4118
0.0059,0.1102
-151.4565,24.4594
-141.4683,-0.2916
-123.7632,-11.8698
-118.2647,-13.6161
-113.4862,-4.0712
0.0289,0.0527
-94.4491,-53.0016
-73.0814,-66.8110
-54.6048,-58.8636
-48.5424,-48.4531
-47.0463,-47.3836
0.0025,0.1053
-2.1544,-40.1475
24.6873,-41.6339
22.4576,-38.9584
3.2311,-12.4322
-0.7495,-2.4718
-0.0115,-0.0348
-1.1887,-11.7083
-16.8696,8.4074
-23.2839,15.7397
-11.6247,14.9576
8.9086,8.9967
-0.0252,-0.0352
19.1980,3.8253
16.0177,-0.6561
13.0467,-10.9981
12.9470,-7.6871
17.3945,-1.8098
-0.0222,0.0088
16.8296,12.8027
8.4003,8.1538
6.9191,5.9125
8.6781,0.3397
8.8344,-0.0415
-0.0152,0.0067
2.4908,1.7776
0.2448,3.3516
0.5810,3.0537
-0.0692,1.4769
-2.8939,3.9547
-0.0084,0.0015
-4.3699,7.2363
-3.5442,5.0201
-2.8501,3.9303
-1.1606,3.3332
-4.7539,8.2129
-0.0085,0.0019
-3.6083,6.0315
1.0336,3.9312
1.0351,0.3496
