phi_r,theta_r
3.1576,-2.6040
-0.0023,0.0203
3.1983,3.5775
8.7093,-5.2025
12.3436,-12.0626
10.7959,-6.4408
9.3225,-1.3977
-0.0045,0.0150
4.9073,-6.9097
3.6870,0.8215
3.6266,9.2768
4.9292,10.3637
5.7016,6.8284
-0.0027,-0.0038
5.4098,-3.5925
2.8545,-2.8822
2.2420,2.1401
4.1334,1.8481
3.8684,-4.0880
0.0019,0.0288
-1.3727,-0.5949
2.1290,-1.1109
7.8311,-4.1843
10.5444,-12.8057
13.5546,-27.6542
-0.0058,0.1103
18.5497,-104.3609
20.1942,-146.0996
13.8338,-174.9077
-3.5846,-185.2307
-27.4213,-163.0928
-0.0077,0.0307
-87.9699,-89.1636
-94.5344,-97.8764
-94.6814,-90.1424
-101.3223,-83.2356
-106.1390,-73.7526
0.0153,-0.0718
-92.3041,-53.9829
-79.9305,-58.7126
-75.3757,-56.4437
-65.1850,-33.0745
-34.8556,-2.0926
0.0076,-0.0822
-3.5929,0.1133
-5.1593,16.7071
-9.3924,30.5540
-0.7275,35.2987
15.7402,36.8214
-0.0210,-0.0218
25.5917,36.0839
21.6248,30.9623
27.2668,26.1190
48.6696,16.1330
66.9267,2.5602
-0.0360,0.0235
80.0593,-3.3814
83.9522,-16.4792
84.8881,-22.3878
91.5239,-12.2488
98.6345,8.3109
-0.0346,-0.0074
101.6516,-27.3144
103.6977,-31.7265
99.5174,-6.7012
93.1057,20.5057
92.8875,11.5514
-0.0372,0.0202
97.8428,15.8304
89.7026,29.5011
86.7544,27.9410
90.7353,13.2087
105.1238,1.1540
-0.0347,0.0319
100.7712,-36.4837
96.9629,-49.2558
99.3219,-52.0305
99.7638,-69.4612
87.0933,-78.7836
-0.0140,0.0760
49.1244,-15.7580
36.4139,-10.3617
33.8290,-57.6582
28.1583,-76.5717
17.5352,-69.6179
0.0037,0.1023
-7.3862,-89.6426
-14.7890,-101.5705
-26.5363,-103.5884
-39.5202,-87.0628
-44.0192,-77.3668
0.0158,0.0015
-46.1909,-55.7025
-56.7632,-62.5302
-66.7157,-66.4246
-70.1224,-60.1881
-79.0682,-43.1493
0.0210,-0.0703
-118.8112,-44.3221
-117.5437,-61.0124
-99.7961,-48.8352
-82.4647,-49.5007
-82.7534,-42.7469
0.0266,-0.0574
-109.3774,-13.7343
-90.8154,-5.1951
-75.2605,-25.7175
-73.5300,-37.2398
-82.8499,-23.3621
0.0343,-0.0424
-89.7850,9.9991
-79.6726,-8.9407
-71.0560,-32.3497
-75.3746,-29.7168
-78.2678,-10.2034
0.0285,-0.0658
-46.2698,11.6387
-30.3898,-8.9905
-20.4758,-28.4619
-17.9983,-17.9945
-23.3182,12.2416
0.0015,-0.0972
-6.3970,10.8946
9.6506,-4.7265
14.1609,2.5906
8.0424,21.2568
2.1119,23.5286
-0.0140,-0.0820
18.4299,28.1214
26.9313,35.8687
29.6379,38.3608
32.0151,30.9218
33.4950,28.8618
-0.0259,-0.0201
47.5317,36.9398
50.9948,24.7217
40.6188,22.2769
33.4191,32.1394
40.5510,33.6268
-0.0334,-0.0005
57.2247,-5.3617
52.8356,-12.9113
47.7417,-2.6082
53.1203,1.9885
61.7667,-8.2369
-0.0336,0.0377
67.5498,-13.3969
74.9976,0.4096
75.3960,0.3801
70.4598,-9.0391
62.6853,6.6997
-0.0319,-0.0241
77.1479,16.5400
79.3363,14.6116
73.1306,19.1697
71.3643,23.0493
74.5914,18.9892
-0.0322,0.0031
65.0368,30.3653
61.2565,9.8246
66.7221,-18.9176
69.6550,-21.7620
58.5542,-0.7090
-0.0151,-0.0483
38.1958,9.0958
44.7797,-18.8381
39.9974,-15.6569
26.4711,15.0301
17.2271,38.7988
-0.0040,-0.0241
37.6843,-26.6152
39.6993,-34.3966
35.6248,-12.1092
53.1144,10.4164
67.9049,-15.5931
-0.0234,0.0603
78.3100,-56.6170
68.9365,-42.0754
55.0790,-38.6824
45.5685,-47.4142
38.5005,-60.1137
-0.0014,0.1119
24.6858,-66.8823
-0.0941,-71.9096
-20.0583,-69.9550
-22.8143,-69.5708
-20.1558,-67.7974
0.0196,0.0250
-73.9932,-51.5195
-113.9108,-80.1610
-114.3701,-76.9516
-97.6304,-66.9143
-90.2835,-49.6544
0.0227,-0.0428
-82.4804,-47.7896
-62.3297,-32.2179
-42.1912,-21.4162
-38.8691,-27.6376
-47.1621,-32.1628
0.0327,-0.0053
-63.6291,-26.4225
-57.2509,-18.7912
-51.4187,-17.3076
-51.8818,-15.6803
-61.9408,-19.1765
0.0371,-0.0127
-52.5449,4.3191
-41.6440,-7.5162
-35.6721,-26.7225
-37.7021,-40.9114
-48.7809,-46.7863
0.0279,0.0037
-43.8723,-29.1733
-37.3966,-40.4039
-40.1440,-51.8636
-46.2052,-50.5922
-57.3411,-47.1891
0.0239,0.0042
-75.4383,-36.5490
-75.8759,-32.6336
-72.9018,-30.6009
-69.9896,-33.0063
-66.5784,-45.1100
0.0213,0.0017
-59.9406,-23.5057
-56.3158,-15.8952
-50.4639,-14.3601
-50.0033,-10.7098
-47.9212,-6.8017
0.0191,-0.0525
-43.0385,1.3703
-41.2334,7.3098
-37.8505,15.9437
-33.9038,21.6720
-31.4606,28.0078
0.0025,-0.1011
-20.8254,40.8276
-16.4911,35.0669
-11.0685,30.2712
-6.0821,16.3968
-6.0399,22.0879
-0.0097,-0.0784
-3.9027,25.2691
4.5076,0.7996
13.9020,-9.6082
16.1170,9.1772
17.2639,32.5997
-0.0202,-0.0396
10.5395,5.2690
7.6428,0.5008
8.6545,12.3989
14.0495,19.1137
18.4543,23.8941
-0.0276,-0.0273
25.3264,15.3303
24.6479,8.6438
28.0699,2.3221
35.8724,10.9090
44.0037,28.2151
-0.0306,-0.0185
49.3729,28.1573
51.9205,29.0504
56.9494,51.5690
48.1667,63.9463
36.4282,63.4526
-0.0136,-0.0788
31.5296,42.9263
33.9880,29.7539
38.0160,30.5951
43.8678,61.4768
53.1079,67.0534
-0.0234,0.0022
66.3565,41.0249
58.7057,50.9032
48.8961,59.3384
46.9647,56.5749
48.9972,55.7883
-0.0225,0.0285
73.4249,5.8731
69.7840,10.8868
51.3034,61.0889
57.5770,39.9732
93.4479,-31.7398
-0.0045,-0.0083
119.5681,-92.1013
128.0778,-100.2619
140.3698,-100.9780
136.2367,-117.5358
105.2214,-140.0947
0.0215,-0.0263
22.9839,-175.4031
3.6678,-138.6050
-15.0282,-134.3857
-34.6379,-144.3743
-64.0332,-135.7983
-0.0116,-0.0455
-115.3929,-86.3880
-137.1137,-80.6177
-127.9177,-100.3789
-104.5278,-90.9120
-87.3118,-69.2239
0.0309,-0.0210
-67.0758,-11.6179
-49.7968,-16.1840
-35.8121,-19.4920
-20.8142,-12.5148
-15.5698,-3.9873
0.0061,-0.0366
-5.0704,10.2004
1.1339,13.8974
3.4737,10.8181
3.1068,14.4175
5.0108,15.9584
-0.0048,-0.0437
5.7065,9.4417
3.8571,4.7871
1.7814,-2.2759
2.7973,-3.7125
2.2257,-0.2768
-0.0070,-0.0148
6.4551,0.4577
0.8568,2.1152
-6.3602,3.0461
-6.4060,4.5160
-1.4268,-0.6890
-0.0027,-0.0056
-5.0160,1.1129
