phi_r,theta_r
-0.0167,-0.0218
73.3546,53.7435
75.4448,1.2151
53.5459,-22.6305
21.3759,-8.6454
10.3255,-11.8949
-0.0019,0.0801
8.1226,-47.3293
-11.7518,-49.9902
-43.8620,-47.0751
-69.4704,-53.5903
-85.3668,-66.7491
0.0109,-0.0657
-113.8169,-53.9045
-115.7205,-34.1880
-118.3855,-3.5572
-122.5870,25.1878
-108.6913,9.7281
0.0241,-0.0775
-30.1303,-11.4055
-15.0654,-5.7373
-11.5808,5.5737
-13.1711,5.6946
-4.5574,3.5484
-0.0100,-0.0309
21.7316,25.5147
20.9278,27.8966
9.7963,19.7377
4.5621,13.7429
10.0730,14.4466
-0.0131,-0.0208
17.8630,4.0824
10.4159,-2.6487
4.9106,-2.3267
4.8930,7.1757
7.1832,15.2743
-0.0123,0.0070
11.2947,-16.0286
6.8822,-17.3820
3.8475,-10.7666
5.3937,-1.3091
9.7358,2.9895
-0.0076,0.0064
-2.2165,-2.6566
-11.2517,-3.4192
-6.9376,2.0446
4.2749,8.7642
8.6140,3.2745
-0.0019,0.0028
-2.1504,-0.4429
4.6620,-0.2643
9.6423,-2.6235
5.4938,1.4103
2.0177,-1.9747
-0.0065,0.0294
7.7761,-12.9755
6.3398,-11.1191
4.2095,-7.5494
3.2015,-20.1329
0.1028,-36.7405
-0.0004,0.0821
-8.3474,-45.0840
-15.2921,-50.6709
-22.2037,-51.2282
-26.3515,-41.3450
-28.7945,-40.6550
0.0124,0.0668
-49.5033,-73.3069
-68.4939,-89.8628
-81.3017,-83.0986
-77.5448,-71.8200
-66.4910,-74.0611
0.0060,0.0331
-55.9203,-91.1330
-59.0735,-83.0011
-59.9136,-61.8651
-52.0618,-61.1856
-36.3995,-68.6241
0.0044,0.0226
-23.1063,-28.9400
-18.4601,-4.5883
0.0771,6.7041
29.9131,16.4025
56.2514,31.3281
-0.0172,-0.0449
22.6803,75.8921
17.6401,87.1661
38.5272,76.6607
77.3525,66.4977
96.5518,40.7094
-0.0230,0.0658
79.0876,35.0045
99.1115,28.0155
123.7471,20.8044
133.3989,12.7267
112.2177,7.4436
-0.0313,0.0620
97.3761,-10.5214
104.3744,2.8922
108.8912,9.0055
109.6030,0.0724
95.5174,7.8585
-0.0319,0.0616
107.6726,-15.4309
110.6333,-20.7696
101.3193,-3.6399
99.0699,-8.4618
98.7166,-19.4745
-0.0350,0.0204
54.5086,34.3493
40.1844,41.3139
52.2890,-12.5942
41.5610,-42.2265
9.6441,-43.8324
0.0154,0.0762
-16.0288,-37.1906
-17.5932,-45.7272
-18.8993,-61.4123
-27.0750,-69.3198
-42.7148,-81.2682
0.0012,0.0357
-60.7496,-85.6253
-84.1470,-70.7603
-103.4882,-69.0541
-111.7477,-65.4124
-116.8530,-40.3326
0.0196,-0.0542
-124.5474,23.7282
-110.9708,44.0864
-80.3662,53.7830
-44.9149,54.5920
-7.7398,29.8035
-0.0062,-0.0468
-4.0725,20.7639
2.7951,11.2232
14.2754,15.6804
24.3715,18.3263
25.9829,14.5462
-0.0097,-0.0171
10.3432,6.7675
11.0299,10.7971
15.7585,18.4283
15.6699,18.1903
9.3326,2.7441
-0.0017,0.0287
-0.2326,3.5079
2.9126,8.3200
2.8897,1.0823
0.3010,-11.3640
-1.0671,-10.9473
-0.0018,0.0314
-0.9127,-1.9209
-0.6092,-3.7262
0.7970,-6.9371
1.4842,-8.9412
1.9093,-5.2080
-0.0043,0.0075
3.2354,-0.6397
3.6702,-2.0991
4.3104,0.1824
4.1483,3.4140
1.4052,3.8748
0.0002,0.0131
-2.5451,-3.9992
3.8611,-1.5634
6.9469,2.4580
5.3578,0.1598
1.6347,-6.0605
-0.0039,0.0160
5.2224,3.0714
6.6458,10.5484
5.1573,12.8488
-2.4965,5.6421
-4.7324,3.3614
0.0002,-0.0091
0.1128,16.8811
3.8716,12.2412
7.4664,-5.6630
10.2684,-17.7598
16.3451,-16.5550
-0.0170,0.0537
28.0463,-22.8441
23.0694,-34.6430
13.5619,-59.8067
-1.0798,-87.9711
-17.4698,-119.2275
-0.0178,0.0421
-49.0780,-172.2037
-61.2001,-181.6492
-67.8639,-172.5170
-77.3351,-157.0640
-88.3514,-114.4489
0.0166,-0.0434
-81.0350,-27.7006
-69.7797,-48.1904
-68.4697,-69.1715
-69.3592,-59.3059
-65.1366,-27.6918
0.0161,-0.0781
-35.3610,-12.6025
-35.1462,-6.8240
-34.2816,8.4204
-21.7557,24.0638
-1.9512,29.9511
-0.0241,-0.0795
29.7731,20.1274
18.1096,33.3064
16.5113,50.4277
26.9590,55.4732
43.9340,65.6314
-0.0273,0.0224
66.3497,33.7144
51.3014,45.5516
45.8131,54.0853
54.4076,49.9727
66.9532,46.0477
-0.0287,0.0335
65.6791,32.9337
61.2672,39.8207
73.3815,45.1091
89.3390,48.6228
101.4555,47.5571
-0.0241,0.0704
107.7858,38.9320
112.4444,55.1850
123.6402,67.7873
124.8758,72.4646
115.0135,77.0668
-0.0073,0.0225
96.9692,55.1738
112.0052,32.7809
112.8994,25.5463
94.3325,51.6619
88.2444,39.7574
-0.0313,0.0651
109.6632,-30.9448
86.6403,-11.5858
65.7989,-12.2154
62.5063,-52.4475
69.3731,-76.9248
-0.0042,0.0704
49.2811,-86.3856
19.5308,-103.2256
