phi_r,theta_r
3.7515,2.7405
6.3419,5.2324
6.1611,2.0971
1.0600,-1.5497
-2.2856,0.0519
-0.3113,-3.3942
4.4969,-9.5395
7.7017,-11.6330
6.3186,-15.2128
-0.0079,0.0685
11.0581,-52.6495
5.1508,-74.0558
-9.9581,-80.7800
-17.7015,-81.9479
-28.2834,-102.3068
-40.1897,-135.7600
-55.1124,-158.9389
-69.4593,-168.5203
-61.4926,-117.0786
-73.9723,-94.6324
-0.0024,-0.0081
-91.4608,-70.5395
-84.3959,-28.0202
-77.1058,-17.8114
-72.2190,-23.3982
-74.0989,-10.9871
-68.7810,10.8506
-54.8153,21.5421
-35.6339,18.5028
-20.9356,19.4739
-12.1614,33.3500
-0.0126,-0.0794
-0.2980,40.3148
14.7147,44.9628
29.3167,47.9499
35.8830,61.3095
43.5476,87.8355
49.9755,125.2820
53.2397,144.7200
61.1695,166.5494
80.4691,183.0342
96.1765,131.2048
0.0093,-0.0376
35.0689,117.7605
40.3894,106.2561
73.5215,65.6257
103.3802,69.4393
105.3374,71.3855
91.2046,53.5198
85.2309,39.5976
101.9503,45.6195
128.3424,32.5288
143.4864,3.3250
-0.0186,0.0850
149.5454,-2.7156
154.6859,-15.1420
154.0833,-22.0071
170.0936,-32.5112
201.4482,-63.1019
219.0950,-114.5016
158.7020,-218.8204
138.6429,-184.4744
151.8696,-161.2709
170.0947,-146.0016
0.0236,-0.0707
104.1184,-136.9216
53.6739,-149.5719
19.6908,-183.5853
-0.4255,-226.6632
-30.8258,-246.9009
-109.6000,-267.4085
-207.2502,-278.3527
-252.3169,-208.7069
-280.6377,-182.3991
-327.8335,-188.1663
-0.0125,0.1035
-256.9805,-96.4094
-135.1810,-51.6229
-54.6641,-65.9596
-28.4180,-38.0783
-11.2499,-15.1655
15.6716,-3.4793
21.8998,-2.3910
3.4166,7.7886
-7.2956,20.7853
-0.7045,22.3615
-0.0102,-0.0504
19.6219,38.6894
20.4994,45.7052
18.5113,37.7750
11.2316,20.6558
8.9874,15.6683
10.4144,20.3312
8.0089,15.2890
1.5286,-2.3280
-1.1193,-6.7686
2.2011,7.1738
-0.0032,-0.0266
-0.8169,5.9563
-6.6070,-4.8697
-4.8696,-7.3199
-0.5304,-2.2217
2.5409,6.7465
3.1282,-2.1199
-3.6479,-19.7352
-13.2085,-26.5279
-21.6106,-31.3879
-23.7726,-40.7474
0.0090,0.0893
-39.1352,-59.4958
-52.1153,-59.8227
-55.8099,-61.8667
-56.0008,-84.2538
-56.7437,-105.3732
-54.0287,-113.3929
-55.8381,-113.9541
-60.9437,-113.5974
-61.5936,-111.7170
-57.8192,-93.5654
0.0075,0.0126
-59.5545,-52.0227
-63.2639,-44.6698
-49.8020,-34.3712
-27.3210,-27.3657
-22.0124,-10.0506
-33.0108,18.6342
-37.1742,32.4797
-21.0871,33.6663
3.2887,25.4541
23.1954,25.5266
-0.0266,-0.0575
41.4495,49.7489
49.2636,49.1401
65.8907,53.0409
79.8619,81.6374
82.5762,94.6544
62.6338,86.9978
45.5383,100.7134
44.1727,131.6445
66.1631,121.1106
91.1864,93.2084
-0.0004,0.0163
59.3340,97.9947
65.3715,82.0382
87.1739,60.3965
99.1178,58.9419
90.1229,68.6845
86.6445,46.7258
83.7034,37.6638
90.8424,60.1032
105.2690,58.8010
106.3915,38.5760
-0.0272,0.0747
87.9268,28.0283
111.0955,25.5134
132.7817,-5.3282
123.8054,-20.7631
117.2336,-29.1732
128.7906,-28.5831
148.1471,-41.5557
149.3530,-166.2102
159.2791,-122.6183
140.2991,-131.7863
0.0312,-0.0402
113.6980,-152.5320
94.6746,-125.6109
69.4055,-127.0720
33.9810,-166.6801
-7.5476,-178.2982
-72.0451,-162.3820
-143.5394,-155.6712
-200.6139,-179.9848
-242.6814,-179.6751
-263.7216,-155.5438
0.0226,0.0748
-247.2204,-154.8652
-199.7125,-117.3808
-152.4492,-81.2336
-140.4310,-64.8623
-140.2236,-65.8834
-86.7990,-32.9496
-33.1463,-27.8792
2.0942,-32.6332
11.0346,-19.8704
2.5619,2.1821
0.0000,-0.1045
3.2731,55.2371
18.0265,41.9227
19.4141,29.0665
8.3326,30.2274
7.7606,16.9008
16.0904,-8.0092
19.0352,-14.5830
12.9301,-4.2890
3.6179,2.9447
5.0988,-8.4812
-0.0131,-0.0065
11.1303,8.5442
1.5563,15.8360
5.4302,6.9515
9.8610,-4.1273
2.8591,5.7450
-2.4621,18.4248
-1.1076,16.3531
5.0736,-0.8775
4.4803,-4.9786
0.4094,4.6994
-0.0022,-0.0256
0.5779,-2.7118
2.0530,-11.0094
-2.0029,-12.6252
-3.0426,-11.0193
-1.2154,-4.4797
-1.0970,-2.1593
-2.0962,-10.4504
-4.5611,-18.0322
-5.2627,-12.3288
-7.8151,-8.5823
0.0043,0.0018
-13.9671,-23.0204
-17.3507,-26.0859
-17.5678,-27.0158
-20.8430,-29.4036
-29.1202,-32.9524
-36.9849,-36.6595
-37.0429,-49.9371
-38.3792,-61.2334
-41.3992,-53.2018
-46.6198,-44.7185
0.0223,-0.0090
-51.2369,-20.9852
-48.9609,-18.3338
