Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Gyroscope X (rad/s),Gyroscope Y (rad/s),Gyroscope Z (rad/s)
0.000999243,-0.01806809,0.9936889,0.1404118,0.2072932,0.1042536
-0.002372781,-0.01951737,0.9936827,-0.1059421,0.02801047,0.04315064
-0.00042829,-0.02336194,0.9956045,0.01736674,0.08779956,0.04311559
-0.000441773,-0.02193618,0.9922068,0.01730621,0.2669931,-0.07892092
0.000523191,-0.02047971,0.9936747,0.01730379,-0.0914808,-0.07905178
0.00389382,-0.01903343,0.9931943,0.01734007,0.2670729,0.1039444
0.002930251,-0.02048691,0.992213,0.2020724,-0.09149495,0.1649775
0.000519624,-0.02291196,0.9902537,0.1404531,0.02808082,-0.1402048
-0.002832564,-0.02771301,0.99412,-0.1059589,-0.09143406,-0.07921001
-0.000920766,-0.02047479,0.9946491,-0.04432493,-0.09139428,0.04283354
0.001482727,-0.02291424,0.9897663,0.01725096,0.08778045,0.04277973
0.003905135,-0.01852419,0.997577,0.07882689,0.2072436,0.042726
-0.001874419,-0.02578628,0.9936443,0.1404028,-0.09134976,-0.01835721
0.001482109,-0.02049099,0.9917274,-0.16751,0.08797501,-0.01831498
0.000524586,-0.02047671,0.9941614,0.1403789,-0.03148372,-0.01833031
0.000516528,-0.0195242,0.9922207,0.1403379,0.02851144,0.1646471
0.002459778,-0.02288653,0.9941452,-0.1059772,-0.03123602,-0.07958193
0.003888085,-0.01953068,0.9907583,0.07883255,-0.03123432,0.2255697
3.16E-05,-0.01904531,0.9917373,-0.04442296,-0.03132642,0.2255547
-0.000918442,-0.02192454,0.9941537,0.01719176,-0.09097998,-0.07964614
0.002444439,-0.01855526,0.9927117,-0.04440806,-0.03121035,0.1034083
-0.002356357,-0.02481614,0.9946238,0.01714861,-0.0313025,0.1033167
-0.002855185,-0.02000297,0.9931936,0.01714642,0.02856106,0.04219579
-0.001906493,-0.01712674,0.9902906,-0.04443401,0.2675595,0.1031148
0.000997071,-0.02049734,0.9907546,0.07870094,0.02852688,-0.01901622
-0.000930219,-0.01952528,0.9922218,0.01700985,0.02851877,0.1030799
4.56E-05,-0.01901532,0.9966038,-0.2908641,0.5662256,0.1030846
-0.006220234,-0.02143725,0.9956206,0.01712174,0.08810261,0.04198313
-0.001417123,-0.02535465,0.9853742,-0.1060563,-0.1508922,0.04196873
0.000534972,-0.01851471,0.999526,0.1402739,0.02841353,-0.01913267
-0.000920615,-0.0243538,0.9912192,0.01715391,-0.03142764,-0.01908948
0.000514209,-0.01371019,0.9966356,0.07871061,0.02841735,0.1030702
-0.001425955,-0.02246414,0.9849051,0.07865042,-0.2704394,0.1640277
-0.001921064,-0.01909773,0.9834661,0.01693469,-0.210632,0.1639367
0.000535586,-0.02530223,0.9936454,-0.1678987,-0.2105363,-0.1412634
0.000560538,-0.0257335,1.001915,-0.1062256,-0.1505977,-0.08026731
-0.000424097,-0.01462443,1.004903,-0.1677478,-0.09073444,-0.01930948
4.45E-05,-0.02241207,0.9931768,0.07873724,0.02870904,0.04170596
0.002421343,-0.0210295,0.9824778,-0.04457614,0.08840339,-0.01939511
0.000978782,-0.02102158,0.9839388,0.2018508,-0.03099963,0.04156293
5.55E-05,-0.02287333,0.9965804,0.01701728,-0.1504215,0.1636273
5.50E-05,-0.02432909,0.9951116,-0.1060252,0.2081311,0.04147773
0.003421491,-0.01852755,0.9970906,-0.1059307,-0.0308831,0.1635038
2.14E-05,-0.0161578,0.9907817,0.01720416,0.148347,0.1023648
7.62E-06,-0.0200668,0.9824855,-0.04431834,-0.03104937,0.2854781
-0.00046486,-0.0156819,0.9898117,0.01729622,-0.03091659,-0.01974055
-0.00140177,-0.01659314,0.998566,0.1404503,0.08865813,0.1022858
0.001499777,-0.02190775,0.9965851,0.2019875,0.02883511,0.1021956
0.002441338,-0.01953176,0.9907594,-0.04436644,0.02872385,0.04111442
-0.001424093,-0.02100539,0.9868605,0.01724819,0.02870653,-0.1419683
-0.001395267,-0.02239816,0.9956111,0.01722651,0.2677798,0.1632235
0.00149234,-0.01901424,0.9966027,0.07876377,0.02880327,0.04107443
-0.005743875,-0.02241939,0.9926946,-0.229091,-0.2699413,-0.02002583
-0.000925106,-0.02096904,0.9926997,0.07891388,-0.0306618,-0.02000067
-0.000440222,-0.02144793,0.993183,0.3251857,-0.03067959,0.04101563
0.001476374,-0.02098824,0.9892913,-0.105903,-0.1502145,-0.08105658
-0.001407817,-0.01806089,0.9951507,-0.1674201,0.0291183,-0.02000821
0.001498537,-0.0214255,0.9965881,0.07902581,0.02910048,0.04102726
0.002915373,-0.01906415,0.9883288,0.01740633,0.3875778,0.04103323
0.000501495,-0.01858669,0.9878469,0.01736513,-0.2699061,-0.02000948
-0.001409526,-0.02339865,0.9897655,0.0788829,-0.150125,-0.01994601
-0.003339913,-0.01903883,0.9931998,-0.1674518,0.08906031,0.2852074
0.001498071,-0.02288125,0.9951193,0.01726115,0.2682336,0.1630585
-0.005757665,-0.01759987,0.9922372,0.07875969,-0.09041083,0.04090969
0.000523502,-0.01950921,0.9946539,0.01719857,-0.09035355,-0.02019039
2.13E-05,-0.01664305,0.9902921,0.1402754,-0.03056594,-0.02029922
-0.005727754,-0.01996015,1.000495,-0.2291962,-0.03043372,0.162834
-0.004286584,-0.01560681,1.002467,-0.04438629,-0.1499689,-0.02036327
4.28E-05,-0.01902132,0.9956304,0.01722836,-0.03050738,0.1017788
-0.001409833,-0.02000489,0.9927059,-0.1673927,0.0888792,-0.08130335
0.003901874,-0.0243502,0.9912155,-0.04416126,0.02911218,-0.08127789
-0.000906666,-0.02432381,0.9960855,-0.2904961,-0.2098085,0.04078741
6.26E-05,-0.02237309,0.999503,-0.04416639,0.08906957,0.04077451
0.003428927,-0.02142106,0.9970731,0.01735128,-0.03048438,0.04072326
-0.003326746,-0.02579936,0.9916989,0.01740683,0.1486326,0.2848285
0.004369401,-0.02244183,0.9878205,0.2019843,0.2082889,0.1016889
3.61E-05,-0.01806581,0.9941763,-0.04433096,-0.03081937,0.101657
-0.000915648,-0.01755429,0.9990464,-0.04427526,-0.03081819,0.04057643
-0.002851618,-0.01757072,0.9966148,0.07887882,-0.03079823,0.04058296
0.000517767,-0.02000646,0.9922178,-0.04433805,0.08877635,0.04060866
-0.000924648,-0.02824181,0.9863295,0.01725722,0.1484328,0.1016638
-0.000455722,-0.02196617,0.9873404,-0.1058822,-0.1505183,0.1015553
0.004391097,-0.02433485,0.9936483,-0.04430636,-0.09063639,0.04043655
-0.001398212,-0.02288941,0.9941482,0.01736622,0.02897582,0.04032824
-0.006698759,-0.01852011,0.9995316,0.01746044,0.08865108,-0.02067528
-0.001415724,-0.0209874,0.9897802,-0.0441784,0.1484766,0.1624201
0.002930095,-0.02097216,0.9917234,0.07911091,-0.3294782,-0.0208533
0.002949775,-0.02480918,0.9951064,0.1407445,-0.03061872,0.04027907
-0.000896128,-0.02624082,0.9980204,0.1408053,0.08887096,0.1012706
-0.003344098,-0.01904783,0.9917399,-0.1054911,0.2083515,-0.02081976
-0.002383318,-0.01760035,0.9917479,0.2023972,0.02897362,-0.02085112
0.001011331,-0.01949685,0.9966002,-0.0439766,-0.03077445,0.04020456
-0.001407199,-0.02048415,0.9931896,0.1408907,-0.09057881,0.1011836
-0.000432471,-0.01900668,0.998064,-0.04388559,0.02899579,0.1010949
0.000512498,-0.01904795,0.9912503,0.01770911,0.02901567,0.04001502
0.001475912,-0.01807973,0.9917421,0.07932314,0.08869087,0.0399456
2.64E-05,-0.0180868,0.99077,-0.04387495,0.08865453,0.03991459
0.000540703,-0.02238172,0.9980428,0.01771971,0.1484237,-0.02110755
0.002461174,-0.02288353,0.9946319,0.01779415,0.1483874,0.1009205
-0.000908678,-0.02190355,0.9975601,0.01790718,0.02868391,-0.02111193
0.001487218,-0.026299,0.988286,0.07955963,0.08835952,0.03979081
-0.003822468,-0.01564544,0.9961404,0.1410186,0.08830479,-0.02134619
-0.000917354,-0.01852779,0.9975806,0.07935998,0.08826894,0.03965262
-0.002379133,-0.01759136,0.9932079,0.01768205,0.02852145,-0.0214267
-0.000447197,-0.02146293,0.9907499,-0.2286725,0.3271565,-0.02145729
-0.004778446,-0.01950717,0.9956312,-0.1054028,0.08803034,0.1005137
-0.000924177,-0.02242179,0.9917176,-0.04375018,0.2672611,-0.02157575
-0.004288454,-0.02579408,0.992673,-0.1052541,0.08792184,0.1004145
-0.000939517,-0.01809052,0.9902841,-0.04377574,0.1476544,-0.1437146
0.002926839,-0.02243391,0.9892814,0.01774142,0.2073495,0.2224704
0.00292715,-0.02146341,0.9902606,-0.04383978,0.08779711,0.0393133
0.004871023,-0.02288473,0.9941434,-0.04382338,-0.1510659,-0.08289093
0.001006679,-0.0209616,0.9936714,0.07934946,-0.2107004,0.1001484
-0.000921383,-0.01805153,0.9966104,-0.04392604,-0.1508179,-0.02190223
-0.000936572,-0.01759927,0.9917468,-0.2285862,0.08819938,0.100146
0.004849792,-0.01953596,0.9897842,0.07928265,-0.09100884,0.03904818
-0.0042931,-0.02289457,0.9936637,-0.04389609,0.1478958,0.03897996
-0.000430303,-0.02094169,0.997079,0.0176986,-0.09111784,-0.1441001
-0.000929753,-0.01806953,0.9936904,-0.04378582,-0.03146065,0.1610943
0.000524431,-0.02096196,0.9936717,0.01779498,0.1476852,0.1000089
